reportingPeriod,state,legalAgencyName,projectType,projectStartDate,projectEndDate,empgTotalFunding
2015 BSIR (December 15),California,OA-San Luis Obispo County,Develop / enhance homeland security / emergency management organization and structure,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,96990
2015 BSIR (December 15),Colorado,"Aurora, City  of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,89000
2015 BSIR (December 15),Colorado,"Brighton, City of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,41000
2015 BSIR (December 15),California,OA-San Luis Obispo County,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,11000
2015 BSIR (December 15),Colorado,Clear Creek County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,70000
2015 BSIR (December 15),California,OA-Santa Clara County ,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,516384
2015 BSIR (December 15),California,OA-Solano County ,Develop/enhance interoperable communications systems,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,40000
2015 BSIR (December 15),California,OA-Solano County ,Establish/enhance emergency operations center,2015-06-01T00:00:00+00:00,2016-07-01T00:00:00+00:00,105859
2015 BSIR (December 15),California,OA-Tehama County,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,138346
2015 BSIR (December 15),California,OA-Tuolumne County,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,2000
2015 BSIR (December 15),California,OA-Ventura County ,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,10000
2015 BSIR (December 15),California,OA-Yuba County,Develop / enhance homeland security / emergency management organization and structure,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,140433
2015 BSIR (December 15),Colorado,Archuleta County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,47000
2015 BSIR (December 15),Colorado,Blackhawk (City of),"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,30000
2015 BSIR (December 15),Colorado,City and County of Broomfield,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,61000
2015 BSIR (December 15),Colorado,Crowley County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,18000
2015 BSIR (December 15),Colorado,"Durango, City of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,28000
2015 BSIR (December 15),Colorado,"Fort Collins, City of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,54000
2015 BSIR (December 15),Colorado,Costilla County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,7500
2015 BSIR (December 15),Colorado,Gunnison County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,75000
2015 BSIR (December 15),Colorado,Dolores County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,18000
2015 BSIR (December 15),Colorado,Kit Carson County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,20000
2015 BSIR (December 15),Colorado,"Englewood, City of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,39000
2015 BSIR (December 15),Colorado,Logan County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,27000
2015 BSIR (December 15),Colorado,Moffat County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,50000
2015 BSIR (December 15),Colorado,"Greeley, City of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,30000
2015 BSIR (December 15),Colorado,Kiowa County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,12000
2015 BSIR (December 15),California,OA-Santa Barbara County ,Develop / enhance homeland security / emergency management organization and structure,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,215779
2015 BSIR (December 15),Colorado,Lincoln County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,10000
2015 BSIR (December 15),California,OA-Siskiyou County ,Develop / enhance homeland security / emergency management organization and structure,2015-09-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,134474
2015 BSIR (December 15),Colorado,Otero County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,11800
2015 BSIR (December 15),Colorado,Mineral County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,30000
2015 BSIR (December 15),Colorado,Pitkin County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,65000
2015 BSIR (December 15),Colorado,Morgan County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,40000
2015 BSIR (December 15),Colorado,Rio Grande County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,20420
2015 BSIR (December 15),Colorado,Phillips County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,13000
2015 BSIR (December 15),Colorado,Sedgwick County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,15000
2015 BSIR (December 15),Colorado,Rio Blanco County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,30000
2015 BSIR (December 15),Colorado,Weld County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,76000
2015 BSIR (December 15),Delaware,Delaware Emergency Management Agency (SAA),Administer and manage the Homeland Security Grant Program,2014-10-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,2037240.45
2015 BSIR (December 15),Florida,City Of Seminole Fire Rescue,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,7549
2015 BSIR (December 15),Florida,County of Bay,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,81547
2015 BSIR (December 15),Florida,County of Charlotte,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,79690
2015 BSIR (December 15),Colorado,Fremont County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,25000
2015 BSIR (December 15),Florida,County of Collier,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,103468
2015 BSIR (December 15),Florida,County of Escambia,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,105293
2015 BSIR (December 15),Colorado,Hinsdale County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,26100
2015 BSIR (December 15),Florida,County of Gadsden,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,50542
2015 BSIR (December 15),Colorado,La Plata County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,63300
2015 BSIR (December 15),Florida,County of Hamilton,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,43685
2015 BSIR (December 15),Colorado,"Longmont, City of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,46000
2015 BSIR (December 15),Florida,County of Highlands,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,58294
2015 BSIR (December 15),Colorado,Montezuma County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,41000
2015 BSIR (December 15),Florida,County of Indian River,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,3392
2015 BSIR (December 15),Florida,County of Lee,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,147445
2015 BSIR (December 15),Colorado,Ouray County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,26300
2015 BSIR (December 15),Florida,County of Manatee,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,113330
2015 BSIR (December 15),Colorado,Prowers County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,9000
2015 BSIR (December 15),Florida,County of Monroe,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,66477
2015 BSIR (December 15),Colorado,Routt County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,76000
2015 BSIR (December 15),Florida,County of Orange,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,225615
2015 BSIR (December 15),Colorado,Summit County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,70000
2015 BSIR (December 15),Florida,County of Pasco,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,130209
2015 BSIR (December 15),Florida,County of Santa Rosa,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,75813
2015 BSIR (December 15),Colorado,"Westminster, City of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,35000
2015 BSIR (December 15),Florida,County of St. Lucie,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,94683
2015 BSIR (December 15),Delaware,Entire State of Delaware,Enhance capabilities to recover from all-hazards events,2014-10-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,1196474.55
2015 BSIR (December 15),Florida,County of Volusia,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,137187
2015 BSIR (December 15),Florida,City of Sunrise,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,5445
2015 BSIR (December 15),Florida,Florida Division of Emergency Management,Administer and manage the Homeland Security Grant Program,2016-02-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,8745325
2015 BSIR (December 15),Florida,County of Bradford,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,45934
2015 BSIR (December 15),Florida,Tampa Fire Rescue,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,11440
2015 BSIR (December 15),Georgia,Alma-Bacon County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,7737
2015 BSIR (December 15),Florida,County of Charlotte,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,8638
2015 BSIR (December 15),California,OA-Solano County ,"Establish / enhance citizen awareness of emergency preparedness, prevention, and response measures",2015-07-01T00:00:00+00:00,2015-12-01T00:00:00+00:00,3000
2015 BSIR (December 15),Florida,County of Columbia,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,52102
2015 BSIR (December 15),California,OA-Sutter County ,Administer and manage the Homeland Security Grant Program,2016-03-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,145052
2015 BSIR (December 15),Florida,County of Escambia,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,13000
2015 BSIR (December 15),California,OA-Tuolumne County,Develop/enhance interoperable communications systems,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,15000
2015 BSIR (December 15),Florida,County of Gadsden,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,10378
2015 BSIR (December 15),California,OA-Ventura County ,Develop / enhance homeland security / emergency management organization and structure,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,153435
2015 BSIR (December 15),Florida,County of Hardee,"Develop/enhance plans, procedures, and protocols",2011-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,46211
2015 BSIR (December 15),California,OA-Yolo County ,Develop / enhance homeland security / emergency management organization and structure,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,168228
2015 BSIR (December 15),Colorado,Arapahoe County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,85000
2015 BSIR (December 15),Florida,County of Hillsborough,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,254580
2015 BSIR (December 15),Colorado,Bent County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,12400
2015 BSIR (December 15),Florida,County of Jackson,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,49762
2015 BSIR (December 15),Colorado,Cheyenne County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,15000
2015 BSIR (December 15),Florida,County of Leon,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,86440
2015 BSIR (December 15),Colorado,"Colorado Springs, City of ","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,90000
2015 BSIR (December 15),Colorado,Delta County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,20000
2015 BSIR (December 15),Colorado,Conejos County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,25500
2015 BSIR (December 15),Colorado,"Denver, City and County of ","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,150000
2015 BSIR (December 15),Colorado,Elbert County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,39800
2015 BSIR (December 15),Colorado,Grand County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,73000
2015 BSIR (December 15),Colorado,Jefferson County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,105000
2015 BSIR (December 15),Colorado,Las Animas County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,5000
2015 BSIR (December 15),Colorado,Mesa County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,52000
2015 BSIR (December 15),Colorado,"Montrose, City of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,35000
2015 BSIR (December 15),Colorado,"Parker, Town of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,38000
2015 BSIR (December 15),Colorado,Red Rocks Community College,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,10000
2015 BSIR (December 15),Colorado,San Juan County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,9000
2015 BSIR (December 15),Colorado,Ute Mountain Ute Tribe,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,17840
2015 BSIR (December 15),Connecticut,Department of Emergency Services and Public Protection - state admin local,Establish/enhance public-private emergency preparedness program,2015-10-01T00:00:00+00:00,2016-10-01T00:00:00+00:00,2242978.43
2015 BSIR (December 15),Florida,City of Ft. Lauderdale,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,11440
2015 BSIR (December 15),Florida,County of Alachua,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,5720
2015 BSIR (December 15),Florida,County of Broward,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,337368
2015 BSIR (December 15),Florida,County of Citrus,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,15440
2015 BSIR (December 15),Florida,County of Dixie,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,54696
2015 BSIR (December 15),Florida,County of Franklin,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,53518
2015 BSIR (December 15),Colorado,El Paso County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,40000
2015 BSIR (December 15),Florida,County of Glades,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,42399
2015 BSIR (December 15),Colorado,Gilpin County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,28000
2015 BSIR (December 15),Florida,County of Hernando,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,78569
2015 BSIR (December 15),Colorado,Huerfano County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,27000
2015 BSIR (December 15),Colorado,Lake County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,28000
2015 BSIR (December 15),Colorado,"Loveland, City of","Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,46000
2015 BSIR (December 15),Colorado,San Miguel County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,45000
2015 BSIR (December 15),Colorado,Washington County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,25000
2015 BSIR (December 15),Florida,County of Holmes,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,41129
2015 BSIR (December 15),Connecticut,Department of Emergency Services and Public Protection - State Projects ,Establish/enhance public-private emergency preparedness program,2015-10-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,2722036.57
2015 BSIR (December 15),Florida,County of Lafayette,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,41914
2015 BSIR (December 15),Florida,City of Pensacola,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,18319
2015 BSIR (December 15),Florida,County of Liberty,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,40066
2015 BSIR (December 15),Florida,County of Baker,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,43475
2015 BSIR (December 15),Florida,County of Calhoun,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,43667
2015 BSIR (December 15),Florida,County of Martin,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,77029
2015 BSIR (December 15),Florida,County of Clay,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,70670
2015 BSIR (December 15),Florida,County of Duval,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,198803
2015 BSIR (December 15),Florida,County of Franklin,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,5720
2015 BSIR (December 15),Florida,County of Okaloosa,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,84354
2015 BSIR (December 15),Florida,County of Palm Beach,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,262003
2015 BSIR (December 15),Florida,County of Polk,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,145284
2015 BSIR (December 15),Florida,County of Seminole,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,111175
2015 BSIR (December 15),Georgia,Augusta-Richmond County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,60665
2015 BSIR (December 15),Georgia,Bartow County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,30547
2015 BSIR (December 15),Florida,County of Taylor,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,55330
2015 BSIR (December 15),Georgia,Brooks County EMA,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,5500
2015 BSIR (December 15),Georgia,Calhoun County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,5000
2015 BSIR (December 15),Georgia,Charlton County Emergency Management Agency,Enhance capabilities to respond to all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,5500
2015 BSIR (December 15),Georgia,Clay County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,5000
2015 BSIR (December 15),Georgia,Colquitt County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,14987
2015 BSIR (December 15),Florida,County of Washington,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,43536
2015 BSIR (December 15),Georgia,Crawford County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,5500
2015 BSIR (December 15),Georgia,DeKalb County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,100500
2015 BSIR (December 15),Georgia,Early County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,7785
2015 BSIR (December 15),Georgia,Emanuel County Emergency Management Agency ,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,9875
2015 BSIR (December 15),Florida,Lealman Special Fire Control District ,Establish/enhance Citizen Corps Councils,2015-06-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,11440
2015 BSIR (December 15),Georgia,Forest Park Emergency Management - Forest Park Fire and Emergency Services,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,15990
2015 BSIR (December 15),Georgia,Glascock County Emergency Management Agency ,Enhance capabilities to respond to all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,5500
2015 BSIR (December 15),Georgia,Gwinnett County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,100500
2015 BSIR (December 15),Georgia,Harris County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,10107
2015 BSIR (December 15),Florida,Town of Davie,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,17253
2015 BSIR (December 15),Georgia,Houston County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,50563
2015 BSIR (December 15),Georgia,Jefferson County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,8929
2015 BSIR (December 15),Georgia,Lanier County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,5500
2015 BSIR (December 15),Georgia,Lowndes County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,33270
2015 BSIR (December 15),Colorado,Montrose County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,35000
2015 BSIR (December 15),Georgia,Marion County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,5500
2015 BSIR (December 15),Colorado,Park County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,25000
2015 BSIR (December 15),Georgia,Mitchell County Emergency Management Agency,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,13966
2015 BSIR (December 15),Colorado,Pueblo County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,72000
2015 BSIR (December 15),Georgia,Muscogee County / Columbus Department of Emergency Management ,Enhance capabilities to recover from all-hazards events,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,56966
2015 BSIR (December 15),Florida,County of Gulf,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,54765
2015 BSIR (December 15),Colorado,Saguache County,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,2000
2015 BSIR (December 15),Florida,County of Hernando,Establish/enhance Citizen Corps Councils,2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,18316
2015 BSIR (December 15),Colorado,Town of Springfield,"Develop/enhance plans, procedures, and protocols",2015-09-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,6125
2015 BSIR (December 15),Florida,County of Indian River,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,76908
2015 BSIR (December 15),Florida,County of Lake,"Develop/enhance plans, procedures, and protocols",2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,89387
